Image,Task 3 (Damage),Task 5 (Vehicle),Task 6 (Visibility),Task 7 (Time),Task 8 (Multiple),Overall Result
tqvcd/FN_12_det02_0245px_vehicle_0p544.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/FB_6_det02_0732px_vehicle_0p702.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/FN_12_det01_0769px_vehicle_0p574.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/FN_11_det02_0351px_vehicle_0p663.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RB_18_det01_0493px_vehicle_0p714.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/RC_4_det01_0673px_vehicle_0p702.png,Moderate,PASS,PASS,PASS,PASS,PASS
tqvcd/RC_6_det01_0748px_vehicle_0p786.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/RC_5_det01_0615px_vehicle_0p755.png,Minor,PASS,PASS,PASS,PASS,PASS
tqvcd/FB_7_det01_0711px_vehicle_0p718.png,Severe,PASS,PASS,PASS,FAIL,FAIL
tqvcd/RB_19_det01_0797px_vehicle_0p784.png,Severe,PASS,PASS,PASS,PASS,PASS
tqvcd/FB_7_det02_0353px_vehicle_0p558.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RB_1_det01_0645px_vehicle_0p683.png,Moderate,PASS,PASS,PASS,PASS,PASS
tqvcd/FB_7_det03_0254px_vehicle_0p559.png,None,PASS,FAIL,PASS,PASS,FAIL
tqvcd/FN_13_det01_0763px_vehicle_0p884.png,Minor,PASS,FAIL,PASS,PASS,FAIL
tqvcd/RC_7_det02_0287px_vehicle_0p493.png,None,PASS,FAIL,FAIL,PASS,FAIL
tqvcd/FN_14_det01_0644px_vehicle_0p629.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/RB_1_det02_0204px_vehicle_0p610.png,None,PASS,PASS,PASS,PASS,PASS
tqvcd/FB_8_det01_0693px_vehicle_0p672.png,Severe,PASS,FAIL,PASS,PASS,FAIL
