Image,Task 3 (Damage),Task 5 (Vehicle),Task 6 (Visibility),Task 7 (Time),Task 8 (Multiple),Overall Result
kaggle/Car damages 1457_det01_0679px_vehicle_0p739.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 218_det01_0699px_vehicle_0p620.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 984_det01_0423px_vehicle_0p485.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 864_det02_0276px_vehicle_0p452.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1458_det01_0687px_vehicle_0p798.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 983_det01_0561px_vehicle_0p643.png,Minor,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 660_det01_0468px_vehicle_0p524.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 864_det01_0540px_vehicle_0p540.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 659_det01_0513px_vehicle_0p519.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 216_det01_0747px_vehicle_0p903.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 985_det01_0491px_vehicle_0p482.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 660_det02_0221px_vehicle_0p539.png,Minor,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 145_det01_0627px_vehicle_0p522.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 661_det01_0409px_vehicle_0p848.png,Minor,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 21_det01_0453px_vehicle_0p584.png,Moderate,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 1459_det01_0766px_vehicle_0p506.png,Severe,PASS,FAIL,PASS,FAIL,FAIL
kaggle/Car damages 219_det01_0709px_vehicle_0p883.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 865_det01_0517px_vehicle_0p648.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 986_det01_0455px_vehicle_0p467.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 866_det01_0523px_vehicle_0p639.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1461_det01_0714px_vehicle_0p750.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 220_det01_0528px_vehicle_0p623.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1462_det01_0572px_vehicle_0p469.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 867_det01_0538px_vehicle_0p636.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 987_det03_0513px_vehicle_0p514.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 662_det01_0603px_vehicle_0p634.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 221_det01_0810px_vehicle_0p900.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 663_det01_0458px_vehicle_0p664.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 988_det01_0472px_vehicle_0p480.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 868_det01_0451px_vehicle_0p555.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1463_det01_0558px_vehicle_0p609.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 868_det02_0216px_vehicle_0p541.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1463_det02_0244px_vehicle_0p546.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 664_det01_0451px_vehicle_0p528.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 222_det01_0796px_vehicle_0p877.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 665_det01_0528px_vehicle_0p608.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 223_det01_0720px_vehicle_0p908.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 989_det01_0521px_vehicle_0p592.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 989_det02_0296px_vehicle_0p563.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 869_det01_0539px_vehicle_0p702.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 224_det01_0671px_vehicle_0p748.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 990_det01_0447px_vehicle_0p600.png,Moderate,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 1464_det01_0694px_vehicle_0p864.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 871_det01_0533px_vehicle_0p502.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1465_det01_0715px_vehicle_0p852.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 666_det01_0457px_vehicle_0p536.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 225_det01_0729px_vehicle_0p663.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 870_det01_0897px_vehicle_0p773.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 667_det02_0506px_vehicle_0p674.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 990_det02_0238px_vehicle_0p518.png,None,PASS,FAIL,PASS,FAIL,FAIL
kaggle/Car damages 668_det01_0223px_vehicle_0p638.png,None,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1466_det01_0743px_vehicle_0p689.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 872_det01_0398px_vehicle_0p593.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 991_det01_0480px_vehicle_0p513.png,Severe,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 226_det01_0795px_vehicle_0p854.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 873_det01_0511px_vehicle_0p526.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 669_det01_0427px_vehicle_0p483.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1467_det01_0790px_vehicle_0p567.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 992_det01_0616px_vehicle_0p608.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 227_det01_0794px_vehicle_0p770.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 146_det01_0500px_vehicle_0p829.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 874_det01_0492px_vehicle_0p624.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 228_det01_0756px_vehicle_0p835.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 22_det01_0231px_vehicle_0p484.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 670_det01_0509px_vehicle_0p507.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 992_det02_0228px_vehicle_0p494.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1470_det01_0791px_vehicle_0p868.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 670_det02_0212px_vehicle_0p473.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1471_det01_0688px_vehicle_0p821.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 874_det02_0210px_vehicle_0p567.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 993_det01_0571px_vehicle_0p677.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 875_det01_0536px_vehicle_0p620.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 671_det01_0474px_vehicle_0p501.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 993_det02_0260px_vehicle_0p627.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1472_det01_0634px_vehicle_0p717.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 22_det02_0445px_vehicle_0p510.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 671_det02_0266px_vehicle_0p483.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 22_det03_0223px_vehicle_0p463.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 876_det01_0509px_vehicle_0p534.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 994_det02_0499px_vehicle_0p455.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1473_det01_0685px_vehicle_0p733.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 876_det02_0254px_vehicle_0p451.png,None,PASS,FAIL,FAIL,FAIL,FAIL
kaggle/Car damages 672_det01_0538px_vehicle_0p616.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 995_det01_0543px_vehicle_0p828.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 230_det01_0873px_vehicle_0p862.png,Minor,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 231_det01_0635px_vehicle_0p780.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 673_det01_0519px_vehicle_0p772.png,Moderate,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1474_det01_0738px_vehicle_0p639.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 877_det01_0497px_vehicle_0p483.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 996_det01_0511px_vehicle_0p509.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 232_det01_0725px_vehicle_0p633.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1474_det03_0461px_vehicle_0p505.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 878_det01_0491px_vehicle_0p736.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 674_det01_0593px_vehicle_0p593.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 997_det01_0575px_vehicle_0p652.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1475_det01_0534px_vehicle_0p652.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 879_det01_0542px_vehicle_0p556.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 233_det01_0755px_vehicle_0p702.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 674_det02_0338px_vehicle_0p452.png,Severe,PASS,PASS,PASS,FAIL,FAIL
kaggle/Car damages 997_det02_0228px_vehicle_0p544.png,None,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1476_det01_0722px_vehicle_0p662.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 234_det01_0681px_vehicle_0p523.png,Minor,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 675_det01_0777px_vehicle_0p669.png,Moderate,PASS,FAIL,PASS,FAIL,FAIL
kaggle/Car damages 998_det01_0559px_vehicle_0p592.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 879_det02_0281px_vehicle_0p572.png,None,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 1477_det01_0748px_vehicle_0p793.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 676_det01_0535px_vehicle_0p615.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 880_det01_0422px_vehicle_0p637.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 236_det01_0595px_vehicle_0p725.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 999_det01_0505px_vehicle_0p666.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 236_det02_0272px_vehicle_0p512.png,Severe,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 677_det01_0466px_vehicle_0p724.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 237_det01_0840px_vehicle_0p846.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 880_det02_0255px_vehicle_0p604.png,None,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1478_det01_0802px_vehicle_0p866.png,Moderate,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 881_det01_0594px_vehicle_0p643.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 1479_det01_0771px_vehicle_0p840.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 678_det01_0455px_vehicle_0p708.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 147_det01_0433px_vehicle_0p812.png,Severe,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 882_det01_0832px_vehicle_0p852.png,Moderate,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 238_det01_0549px_vehicle_0p530.png,Minor,PASS,PASS,FAIL,PASS,FAIL
kaggle/Car damages 1480_det01_0625px_vehicle_0p874.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 678_det02_0258px_vehicle_0p520.png,None,PASS,FAIL,PASS,PASS,FAIL
kaggle/Car damages 679_det01_0368px_vehicle_0p570.png,Severe,PASS,PASS,PASS,PASS,PASS
kaggle/Car damages 239_det01_0631px_vehicle_0p547.png,Severe,PASS,PASS,PASS,FAIL,FAIL
